83 4:1
1 9 3:2520 4:540 2:540 1:660 3:2460 4:540 2:480 1:660 3:2460 
1 9 3:2460 4:540 2:480 1:660 3:2460 4:540 2:540 1:660 3:2460 
1 9 3:2460 4:540 2:540 1:660 3:2460 4:540 2:480 1:660 3:2400 
1 9 3:2460 4:540 2:480 1:660 3:2400 4:600 2:480 1:660 3:2400 
1 9 3:2400 4:600 2:480 1:660 3:2400 4:540 2:540 1:660 3:2400 
1 9 3:2400 4:540 2:540 1:660 3:2400 4:600 2:480 1:660 3:2400 
1 9 3:2400 4:600 2:480 1:660 3:2400 4:540 2:480 2:720 3:2340 
1 9 3:2400 4:540 2:480 2:720 3:2340 4:600 2:480 1:660 3:2400 
1 9 3:2340 4:600 2:480 1:660 3:2400 4:540 2:540 1:660 3:2400 
1 9 3:2400 4:540 2:540 1:660 3:2400 4:540 2:480 1:660 3:2460 
1 9 3:2400 4:540 2:480 1:660 3:2460 4:540 2:540 1:660 3:2400 
1 9 3:2460 4:540 2:540 1:660 3:2400 4:600 2:480 1:660 3:2400 
1 9 3:2400 4:600 2:480 1:660 3:2400 4:600 2:480 1:660 3:2280 
1 9 3:2400 4:600 2:480 1:660 3:2280 4:600 2:480 1:660 3:2340 
1 9 3:2280 4:600 2:480 1:660 3:2340 4:540 2:540 1:660 3:2280 
1 9 3:2340 4:540 2:540 1:660 3:2280 4:600 2:480 1:660 3:2400 
1 9 3:2280 4:600 2:480 1:660 3:2400 4:540 2:540 1:660 3:2400 
1 9 3:2400 4:540 2:540 1:660 3:2400 4:540 2:540 1:660 3:2400 
1 9 3:2400 4:540 2:540 1:660 3:2400 4:600 2:480 1:660 3:2400 
1 9 3:2400 4:600 2:480 1:660 3:2400 4:600 2:480 1:660 3:2400 
1 13 3:2400 4:600 2:480 1:660 3:2400 4:600 2:480 1:660 2:2400 4:600 2:480 1:660 3:2400 
1 13 3:2400 4:600 2:480 1:660 2:2400 4:600 2:480 1:660 3:2400 4:600 2:540 1:660 3:2340 
1 9 3:2400 4:600 2:540 1:660 3:2340 4:600 2:480 1:660 3:2400 
1 9 3:2340 4:600 2:480 1:660 3:2400 4:540 2:540 1:660 3:2460 
1 9 3:2400 4:540 2:540 1:660 3:2460 4:540 2:540 1:660 3:2400 
1 6 3:2460 4:540 2:540 1:660 3:2400 3:600 
1 5 3:2400 3:600 2:480 1:660 3:2400 
1 12 3:600 2:480 1:660 3:2400 4:540 2:540 1:660 2:2340 4:600 2:480 1:660 3:2400 
1 13 3:2400 4:540 2:540 1:660 2:2340 4:600 2:480 1:660 3:2400 4:600 2:480 1:660 3:2400 
1 9 3:2400 4:600 2:480 1:660 3:2400 4:540 2:540 1:660 3:2400 
1 9 3:2400 4:540 2:540 1:660 3:2400 4:540 2:540 2:660 3:2400 
1 9 3:2400 4:540 2:540 2:660 3:2400 4:600 2:480 1:660 3:2460 
1 9 3:2400 4:600 2:480 1:660 3:2460 4:600 2:480 1:660 3:2520 
1 9 3:2460 4:600 2:480 1:660 3:2520 4:600 2:480 1:660 3:2580 
1 9 3:2520 4:600 2:480 1:660 3:2580 4:600 2:480 1:660 3:2580 
1 9 3:2580 4:600 2:480 1:660 3:2580 4:540 2:540 1:660 3:2580 
1 9 3:2580 4:540 2:540 1:660 3:2580 4:540 2:540 1:660 3:2520 
1 9 3:2580 4:540 2:540 1:660 3:2520 4:600 2:480 1:660 3:2520 
1 9 3:2520 4:600 2:480 1:660 3:2520 4:600 2:480 1:660 3:2580 
1 9 3:2520 4:600 2:480 1:660 3:2580 4:540 2:540 1:600 3:2520 
1 9 3:2580 4:540 2:540 1:600 3:2520 4:540 2:540 1:660 3:2460 
1 9 3:2520 4:540 2:540 1:660 3:2460 4:600 2:480 1:660 3:2460 
1 13 3:2460 4:600 2:480 1:660 3:2460 4:600 2:480 1:660 2:2460 4:600 2:540 2:660 3:2460 
